target,outer_fold,inner_fold,config_id,selection_metric,selection_metric_value,final_train_loss,hidden_dim,dropout,learning_rate,weight_decay,batch_size,threshold,activation,hamming_loss,exact_match,precision_micro,recall_micro,f1_micro,f1_macro
GDS_R1,2,3,10,f1_macro,0.3071297989031079,0.2689495389185958,32,0.3,0.001,0.0,32,0.6,relu,0.09876543209876543,0.8484848484848485,0.8542372881355932,0.8484848484848485,0.8513513513513514,0.3071297989031079
GDS_R1,2,1,11,f1_macro,0.3055555555555555,0.27831671215405984,32,0.3,0.001,0.0,32,0.5,tanh,0.10256410256410256,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.3055555555555555
GDS_R1,2,2,11,f1_macro,0.3054545454545455,0.2679802285344809,32,0.3,0.001,0.0,32,0.5,tanh,0.1029082774049217,0.8456375838926175,0.8456375838926175,0.8456375838926175,0.8456375838926175,0.3054545454545455
GDS_R1,2,3,11,f1_macro,0.3060109289617486,0.27495707182129425,32,0.3,0.001,0.0,32,0.5,tanh,0.10101010101010101,0.8484848484848485,0.8484848484848485,0.8484848484848485,0.8484848484848486,0.3060109289617486
GDS_R1,2,1,12,f1_macro,0.3055555555555555,0.25831006364662107,32,0.3,0.001,0.0,32,0.5,leaky_relu,0.10256410256410256,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.3055555555555555
GDS_R1,2,2,12,f1_macro,0.3054545454545455,0.28035412898799716,32,0.3,0.001,0.0,32,0.5,leaky_relu,0.1029082774049217,0.8456375838926175,0.8456375838926175,0.8456375838926175,0.8456375838926175,0.3054545454545455
GDS_R1,2,3,12,f1_macro,0.3060109289617486,0.2678542144883618,32,0.3,0.001,0.0,32,0.5,leaky_relu,0.10101010101010101,0.8484848484848485,0.8484848484848485,0.8484848484848485,0.8484848484848486,0.3060109289617486
GDS_R1,3,1,1,f1_macro,0.3055555555555555,0.3293705167532766,32,0.3,0.001,0.0,32,0.5,relu,0.10256410256410256,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.3055555555555555
GDS_R1,3,2,1,f1_macro,0.3055555555555555,0.27149003823997586,32,0.3,0.001,0.0,32,0.5,relu,0.10256410256410256,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.3055555555555555
GDS_R1,3,3,1,f1_macro,0.3054545454545455,0.2684568418906285,32,0.3,0.001,0.0,32,0.5,relu,0.1029082774049217,0.8456375838926175,0.8456375838926175,0.8456375838926175,0.8456375838926175,0.3054545454545455
