target,outer_fold,example_id,class,mean_probability,std_probability,predicted_label,threshold
GDS_R1,5,0,1,0.6878805756568909,0.08914432674646378,1,0.5
GDS_R1,5,0,2,0.3256199359893799,0.08004117757081985,0,0.5
GDS_R1,5,0,3,0.005283411126583815,0.006748742889612913,0,0.5
GDS_R1,5,1,1,0.9162954688072205,0.04410902038216591,1,0.5
GDS_R1,5,1,2,0.0836571678519249,0.03802333399653435,0,0.5
GDS_R1,5,1,3,0.0012258783681318164,0.002999005140736699,0,0.5
GDS_R1,5,2,1,0.9863703846931458,0.01312304474413395,1,0.5
GDS_R1,5,2,2,0.015105294063687325,0.024439861997961998,0,0.5
GDS_R1,5,2,3,7.093467138474807e-05,0.00018132307741325349,0,0.5
GDS_R1,5,3,1,0.9573394656181335,0.03785042464733124,1,0.5
GDS_R1,5,3,2,0.039528075605630875,0.03473090007901192,0,0.5
GDS_R1,5,3,3,0.0005296657327562571,0.0013944740639999509,0,0.5
GDS_R1,5,4,1,0.9738478064537048,0.023720111697912216,1,0.5
GDS_R1,5,4,2,0.026683570817112923,0.021857349202036858,0,0.5
GDS_R1,5,4,3,0.00019745482131838799,0.0004509249411057681,0,0.5
GDS_R2,1,0,1,0.920204758644104,0.04882262647151947,1,0.5
GDS_R2,1,0,2,0.08338426798582077,0.0460347905755043,0,0.5
GDS_R2,1,0,3,0.006451827473938465,0.009344029240310192,0,0.5
GDS_R2,1,1,1,0.7722554206848145,0.09387129545211792,1,0.5
GDS_R2,1,1,2,0.1308290809392929,0.057647705078125,0,0.5
GDS_R2,1,1,3,0.03221076726913452,0.06111094728112221,0,0.5
GDS_R2,1,2,1,0.9129064679145813,0.055833619087934494,1,0.5
GDS_R2,1,2,2,0.08933882415294647,0.050830528140068054,0,0.5
GDS_R2,1,2,3,0.011415955610573292,0.0280548557639122,0,0.5
GDS_R2,1,3,1,0.79779452085495,0.07380294799804688,1,0.5
GDS_R2,1,3,2,0.1975974589586258,0.06717279553413391,0,0.5
GDS_R2,1,3,3,0.029959235340356827,0.029655149206519127,0,0.5
GDS_R2,1,4,1,0.8781725168228149,0.05687359720468521,1,0.5
GDS_R2,1,4,2,0.12814871966838837,0.05326272174715996,0,0.5
GDS_R2,1,4,3,0.011831548064947128,0.019849400967359543,0,0.5
GDS_R2,2,0,1,0.23044034838676453,0.07752598077058792,0,0.5
GDS_R2,2,0,2,0.4854370355606079,0.03640710562467575,0,0.5
GDS_R2,2,0,3,0.18883298337459564,0.0621013268828392,0,0.5
GDS_R2,2,1,1,0.8125820755958557,0.07253225147724152,1,0.5
GDS_R2,2,1,2,0.15762615203857422,0.050159651786088943,0,0.5
GDS_R2,2,1,3,0.01903368905186653,0.02287469618022442,0,0.5
GDS_R2,2,2,1,0.9188771843910217,0.0490732416510582,1,0.5
GDS_R2,2,2,2,0.08284486830234528,0.03960193321108818,0,0.5
GDS_R2,2,2,3,0.0028788030613213778,0.004280490335077047,0,0.5
GDS_R2,2,3,1,0.2555414140224457,0.09211414307355881,0,0.5
GDS_R2,2,3,2,0.46030524373054504,0.04264604672789574,0,0.5
GDS_R2,2,3,3,0.19116416573524475,0.0605967678129673,0,0.5
GDS_R2,2,4,1,0.6894299387931824,0.06779220700263977,1,0.5
GDS_R2,2,4,2,0.2529316842556,0.037411049008369446,0,0.5
GDS_R2,2,4,3,0.03416555002331734,0.0371943898499012,0,0.5
GDS_R2,3,0,1,0.17508719861507416,0.05799735710024834,0,0.5
GDS_R2,3,0,2,0.52054363489151,0.05433062091469765,1,0.5
GDS_R2,3,0,3,0.3460335433483124,0.062006574124097824,0,0.5
GDS_R2,3,1,1,0.8091153502464294,0.06116212531924248,1,0.5
GDS_R2,3,1,2,0.1483309417963028,0.042671386152505875,0,0.5
GDS_R2,3,1,3,0.026996593922376633,0.020943479612469673,0,0.5
GDS_R2,3,2,1,0.662498950958252,0.051826730370521545,1,0.5
GDS_R2,3,2,2,0.24624240398406982,0.04400760307908058,0,0.5
GDS_R2,3,2,3,0.08530449867248535,0.04750558361411095,0,0.5
GDS_R2,3,3,1,0.3814864754676819,0.07271275669336319,0,0.5
GDS_R2,3,3,2,0.4051283895969391,0.04735654219985008,0,0.5
GDS_R2,3,3,3,0.1899356096982956,0.06182628870010376,0,0.5
GDS_R2,3,4,1,0.7427341938018799,0.05357978865504265,1,0.5
GDS_R2,3,4,2,0.19146928191184998,0.04558376595377922,0,0.5
GDS_R2,3,4,3,0.04129232466220856,0.02728414349257946,0,0.5
GDS_R2,4,0,1,0.5514081716537476,0.09658867120742798,1,0.5
GDS_R2,4,0,2,0.3755289316177368,0.06746523082256317,0,0.5
GDS_R2,4,0,3,0.05567524582147598,0.03980190306901932,0,0.5
GDS_R2,4,1,1,0.8258424401283264,0.06752081960439682,1,0.5
GDS_R2,4,1,2,0.1500946432352066,0.04743465408682823,0,0.5
GDS_R2,4,1,3,0.015699857845902443,0.018086956813931465,0,0.5
GDS_R2,4,2,1,0.7088873386383057,0.0808025598526001,1,0.5
GDS_R2,4,2,2,0.22134006023406982,0.05614582076668739,0,0.5
GDS_R2,4,2,3,0.037243906408548355,0.02400958724319935,0,0.5
GDS_R2,4,3,1,0.19526676833629608,0.0759095549583435,0,0.5
GDS_R2,4,3,2,0.5730069875717163,0.05503931641578674,1,0.5
GDS_R2,4,3,3,0.2575858533382416,0.07248280197381973,0,0.5
GDS_R2,4,4,1,0.5307026505470276,0.0737137719988823,1,0.5
GDS_R2,4,4,2,0.3740937411785126,0.051718562841415405,0,0.5
GDS_R2,4,4,3,0.07654475420713425,0.04973076283931732,0,0.5
GDS_R2,5,0,1,0.3145114779472351,0.06420522928237915,0,0.5
GDS_R2,5,0,2,0.5011837482452393,0.027548352256417274,1,0.5
GDS_R2,5,0,3,0.20174477994441986,0.06836343556642532,0,0.5
GDS_R2,5,1,1,0.9244987964630127,0.036448609083890915,1,0.5
GDS_R2,5,1,2,0.09221789985895157,0.03572143614292145,0,0.5
GDS_R2,5,1,3,0.0063271005637943745,0.007968149147927761,0,0.5
GDS_R2,5,2,1,0.8662810325622559,0.05333230271935463,1,0.5
GDS_R2,5,2,2,0.13863663375377655,0.048357948660850525,0,0.5
GDS_R2,5,2,3,0.01011725328862667,0.012892138212919235,0,0.5
GDS_R2,5,3,1,0.715080976486206,0.05416658893227577,1,0.5
GDS_R2,5,3,2,0.293483167886734,0.04446292668581009,0,0.5
GDS_R2,5,3,3,0.044252410531044006,0.033916834741830826,0,0.5
GDS_R2,5,4,1,0.6268020868301392,0.08026216179132462,1,0.5
GDS_R2,5,4,2,0.3179885447025299,0.051484618335962296,0,0.5
GDS_R2,5,4,3,0.062354832887649536,0.048247210681438446,0,0.5
GDS_R3,1,0,1,0.994215190410614,0.00654709292575717,1,0.5
GDS_R3,1,0,3,0.006805166136473417,0.007883217185735703,0,0.5
GDS_R3,1,1,1,0.9830725789070129,0.02166173793375492,1,0.5
GDS_R3,1,1,3,0.01946336217224598,0.023730261251330376,0,0.5
GDS_R3,1,2,1,0.9871066808700562,0.017399732023477554,1,0.5
GDS_R3,1,2,3,0.013043454848229885,0.019260361790657043,0,0.5
GDS_R3,1,3,1,0.9764384627342224,0.01869904063642025,1,0.5
GDS_R3,1,3,3,0.02314256690442562,0.018297813832759857,0,0.5
GDS_R3,1,4,1,0.7292587161064148,0.07328160107135773,1,0.5
GDS_R3,1,4,3,0.2640473544597626,0.08020453155040741,0,0.5
GDS_R3,2,0,1,0.7782142162322998,0.07327312976121902,1,0.5
GDS_R3,2,0,3,0.21453708410263062,0.06258135288953781,0,0.5
GDS_R3,2,1,1,0.9878202676773071,0.009102131240069866,1,0.5
GDS_R3,2,1,3,0.012750775553286076,0.00920051522552967,0,0.5
GDS_R3,2,2,1,0.949513852596283,0.03067636862397194,1,0.5
GDS_R3,2,2,3,0.04771480709314346,0.024082619696855545,0,0.5
GDS_R3,2,3,1,0.8935587406158447,0.04948245733976364,1,0.5
GDS_R3,2,3,3,0.10631656646728516,0.05611352249979973,0,0.5
GDS_R3,2,4,1,0.9592574834823608,0.026102202013134956,1,0.5
GDS_R3,2,4,3,0.03810711205005646,0.028618566691875458,0,0.5
GDS_R3,3,0,1,0.9604166150093079,0.033501796424388885,1,0.5
GDS_R3,3,0,3,0.03839558735489845,0.029505964368581772,0,0.5
GDS_R3,3,1,1,0.7339817881584167,0.0718580111861229,1,0.5
GDS_R3,3,1,3,0.28076404333114624,0.06734294444322586,0,0.5
GDS_R3,3,2,1,0.9859982132911682,0.02015766315162182,1,0.5
GDS_R3,3,2,3,0.013770448043942451,0.01759365387260914,0,0.5
GDS_R3,3,3,1,0.7413401007652283,0.07784555107355118,1,0.5
GDS_R3,3,3,3,0.2611277997493744,0.07348732650279999,0,0.5
GDS_R3,3,4,1,0.9829431772232056,0.03763079643249512,1,0.5
GDS_R3,3,4,3,0.01679816097021103,0.035937462002038956,0,0.5
GDS_R3,4,0,1,0.7422986626625061,0.049160029739141464,1,0.5
GDS_R3,4,0,3,0.25706860423088074,0.04887958988547325,0,0.5
GDS_R3,4,1,1,0.971666157245636,0.023040838539600372,1,0.5
GDS_R3,4,1,3,0.02505398727953434,0.01800239086151123,0,0.5
GDS_R3,4,2,1,0.9894171357154846,0.010438195429742336,1,0.5
GDS_R3,4,2,3,0.010823680087924004,0.0098579665645957,0,0.5
GDS_R3,4,3,1,0.992729663848877,0.007858618162572384,1,0.5
GDS_R3,4,3,3,0.007092281710356474,0.0073293717578053474,0,0.5
GDS_R3,4,4,1,0.9307222962379456,0.044715747237205505,1,0.5
GDS_R3,4,4,3,0.0693424791097641,0.041710857301950455,0,0.5
GDS_R3,5,0,1,0.634174644947052,0.06295273452997208,1,0.5
GDS_R3,5,0,3,0.36397048830986023,0.06618569046258926,0,0.5
GDS_R3,5,1,1,0.9166572690010071,0.03044844977557659,1,0.5
GDS_R3,5,1,3,0.0810665711760521,0.03128547966480255,0,0.5
GDS_R3,5,2,1,0.981601893901825,0.016095176339149475,1,0.5
GDS_R3,5,2,3,0.017551952973008156,0.014217243529856205,0,0.5
GDS_R3,5,3,1,0.9346683025360107,0.04253451153635979,1,0.5
GDS_R3,5,3,3,0.059510089457035065,0.043239228427410126,0,0.5
GDS_R3,5,4,1,0.9643902778625488,0.03234323114156723,1,0.5
GDS_R3,5,4,3,0.033488329499959946,0.028968313708901405,0,0.5
GDS_R4,1,0,1,0.027889320626854897,0.02084263786673546,0,0.5
GDS_R4,1,0,2,0.909732460975647,0.054526060819625854,1,0.5
GDS_R4,1,0,3,0.024871360510587692,0.028065508231520653,0,0.5
GDS_R4,1,1,1,0.3155924081802368,0.028258563950657845,0,0.5
GDS_R4,1,1,2,0.693081259727478,0.03921182081103325,1,0.5
GDS_R4,1,1,3,0.01733105257153511,0.03367660567164421,0,0.5
GDS_R4,1,2,1,0.027540430426597595,0.022281574085354805,0,0.5
GDS_R4,1,2,2,0.9036669731140137,0.048858948051929474,1,0.5
GDS_R4,1,2,3,0.031371548771858215,0.03300395980477333,0,0.5
GDS_R4,1,3,1,0.30515408515930176,0.04547113925218582,0,0.5
GDS_R4,1,3,2,0.7225447297096252,0.050117481499910355,1,0.5
GDS_R4,1,3,3,0.006772034335881472,0.01447245292365551,0,0.5
GDS_R4,1,4,1,0.3331280052661896,0.03168768435716629,0,0.5
GDS_R4,1,4,2,0.6911596059799194,0.04395148530602455,1,0.5
GDS_R4,1,4,3,0.01148897036910057,0.03765619546175003,0,0.5
GDS_R4,2,0,1,0.14660248160362244,0.040862005203962326,0,0.4
GDS_R4,2,0,2,0.8168947100639343,0.04625594615936279,1,0.4
GDS_R4,2,0,3,0.05194190889596939,0.029240667819976807,0,0.4
GDS_R4,2,1,1,0.14601290225982666,0.04000794515013695,0,0.4
GDS_R4,2,1,2,0.8570871949195862,0.04595320299267769,1,0.4
GDS_R4,2,1,3,0.026486830785870552,0.021128755062818527,0,0.4
GDS_R4,2,2,1,0.1746491640806198,0.05534768104553223,0,0.4
GDS_R4,2,2,2,0.7703413367271423,0.05335284769535065,1,0.4
GDS_R4,2,2,3,0.07304344326257706,0.03397359326481819,0,0.4
GDS_R4,2,3,1,0.15274548530578613,0.05641614645719528,0,0.4
GDS_R4,2,3,2,0.8394508361816406,0.04752705246210098,1,0.4
GDS_R4,2,3,3,0.048165012151002884,0.029463350772857666,0,0.4
GDS_R4,2,4,1,0.14426757395267487,0.05718820542097092,0,0.4
GDS_R4,2,4,2,0.8479530215263367,0.043795060366392136,1,0.4
GDS_R4,2,4,3,0.041594792157411575,0.03068949282169342,0,0.4
GDS_R4,3,0,1,0.06054823845624924,0.04855500906705856,0,0.5
GDS_R4,3,0,2,0.8916136026382446,0.05406713858246803,1,0.5
GDS_R4,3,0,3,0.013251341879367828,0.019726529717445374,0,0.5
GDS_R4,3,1,1,0.025882964953780174,0.021901167929172516,0,0.5
GDS_R4,3,1,2,0.952319324016571,0.03484940901398659,1,0.5
GDS_R4,3,1,3,0.0083064129576087,0.012769888155162334,0,0.5
GDS_R4,3,2,1,0.10424242168664932,0.03955983743071556,0,0.5
GDS_R4,3,2,2,0.8815918564796448,0.04090583324432373,1,0.5
GDS_R4,3,2,3,0.0073748137801885605,0.009763972833752632,0,0.5
GDS_R4,3,3,1,0.022849928587675095,0.034267980605363846,0,0.5
GDS_R4,3,3,2,0.9385549426078796,0.031125549226999283,1,0.5
GDS_R4,3,3,3,0.019164910539984703,0.02496289648115635,0,0.5
GDS_R4,3,4,1,0.01777605712413788,0.018267426639795303,0,0.5
GDS_R4,3,4,2,0.952087938785553,0.03250737860798836,1,0.5
GDS_R4,3,4,3,0.01609581895172596,0.015364089049398899,0,0.5
GDS_R4,4,0,1,0.32463765144348145,0.03823171555995941,0,0.5
GDS_R4,4,0,2,0.6777998208999634,0.04152793437242508,1,0.5
GDS_R4,4,0,3,0.003705117153003812,0.006286719813942909,0,0.5
